Date : 2024-10-24 11:17:29
Directory : c:\Users\MHMD\Desktop\CompanyPlanner
Total : 6588 files,  1140753 codes, 115039 comments, 233649 blanks, all 1489441 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      5,698 |  1,015,236 |     99,778 |    215,335 |  1,330,349 |
| JavaScript       |        234 |     47,794 |      9,666 |     11,623 |     69,083 |
| XML              |         73 |     21,021 |          3 |         69 |     21,093 |
| JSON             |         25 |     17,130 |          0 |         41 |     17,171 |
| CSS              |        108 |     16,823 |        969 |      2,645 |     20,437 |
| HTML             |        345 |     10,405 |        218 |      1,533 |     12,156 |
| C++              |         64 |      8,102 |      3,594 |      1,754 |     13,450 |
| C                |          4 |      2,068 |        259 |        359 |      2,686 |
| TSV              |          4 |      1,405 |          0 |          4 |      1,409 |
| Properties       |          4 |        184 |        161 |        103 |        448 |
| Markdown         |         13 |        179 |          0 |         60 |        239 |
| reStructuredText |          6 |        109 |          1 |         47 |        157 |
| PowerShell       |          1 |        108 |        360 |         35 |        503 |
| pip requirements |          1 |         90 |          1 |          1 |         92 |
| Batch            |          3 |         42 |          1 |         18 |         61 |
| Visual Basic     |          3 |         31 |          4 |         13 |         48 |
| XSL              |          1 |         24 |         24 |          8 |         56 |
| Ini              |          1 |          2 |          0 |          1 |          3 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                          |      6,588 |  1,140,753 |    115,039 |    233,649 |  1,489,441 |
| . (Files)                                                                                                                                                  |          7 |        128 |          9 |         14 |        151 |
| .history                                                                                                                                                   |      1,037 |     69,038 |     16,614 |     20,080 |    105,732 |
| .history (Files)                                                                                                                                           |         59 |      1,250 |         56 |        403 |      1,709 |
| .history\account                                                                                                                                           |         78 |      6,105 |        415 |      1,753 |      8,273 |
| .history\accounting                                                                                                                                        |         37 |      1,012 |        170 |        347 |      1,529 |
